answer,type,context,question,qwen
"San Francisco, California",contradiction,"Ricci v. DeStefano was heard by the United States Supreme Court in 2009. The case concerns White and Hispanic firefighters in New Haven, Connecticut, who upon passing their test for promotions to management were denied the promotions, allegedly because of a discriminatory or at least questionable test. The test gave 17 whites and two Hispanics the possibility of immediate promotion. Although 23% of those taking the test were African American, none scored high enough to qualify. Because of the possibility the tests were biased in violation of Title VII of the Civil Rights Act, no candidates were promoted pending outcome of the controversy. In a split 5-4 vote, the Supreme Court ruled that New Haven had engaged in impermissible racial discrimination against the White and Hispanic majority.",Where was the issue of White and Hispanic firefighters heard in the case based out of?,irrelevant
"According to Hayek, economic security should be guaranteed to everyone in a society that has reached a general level of wealth like ours.",factual,"Hayek also wrote that the state can play a role in the economy, and specifically, in creating a ""safety net"". He wrote, ""There is no reason why, in a society which has reached the general level of wealth ours has, the first kind of security should not be guaranteed to all without endangering general freedom; that is: some minimum of food, shelter and clothing, sufficient to preserve health. Nor is there any reason why the state should not help to organize a comprehensive system of social insurance in providing for those common hazards of life against which few can make adequate provision.""",Who did Hayek say economic security should be guaranteed to?,contradiction
"""The Athenian and the Frog"" was thought to be an independent ancient Greek precursor to Twain's story for a period of time.",factual,"Mark Twain provided humorously telling evidence for the frequent unreliability of back-translation when he issued his own back-translation of a French translation of his short story, ""The Celebrated Jumping Frog of Calaveras County"". He published his back-translation in a 1903 volume together with his English-language original, the French translation, and a ""Private History of the 'Jumping Frog' Story"". The latter included a synopsized adaptation of his story that Twain stated had appeared, unattributed to Twain, in a Professor Sidgwick’s Greek Prose Composition (p. 116) under the title, ""The Athenian and the Frog""; the adaptation had for a time been taken for an independent ancient Greek precursor to Twain's ""Jumping Frog"" story.",What had been thought for a while to be an independent ancient Greek precursor to Twain's story?,"""factual"""
The program that allows third parties to sell iPod accessories is called the Made for iPod program.,factual,"On August 24, 2006, Apple and Creative announced a broad settlement to end their legal disputes. Apple will pay Creative US$100 million for a paid-up license, to use Creative's awarded patent in all Apple products. As part of the agreement, Apple will recoup part of its payment, if Creative is successful in licensing the patent. Creative then announced its intention to produce iPod accessories by joining the Made for iPod program.",What's the name of the program by which 3rd parties sell iPod accessories?,"""factual"""
"In the metropolitan area, there were 246,639 construction workers employed.",factual,"The southern Essonne department specialises in science and technology, and the south-eastern Val-de-Marne, with its wholesale Rungis food market, specialises in food processing and beverages. The Paris region's manufacturing decline is quickly being replaced by eco-industries: these employ about 100,000 workers. In 2011, while only 56,927 construction workers worked in Paris itself, its metropolitan area employed 246,639, in an activity centred largely around the Seine-Saint-Denis (41,378) and Hauts-de-Seine (37,303) departments and the new business-park centres appearing there.",How many construction workers were employed in the metropolitan area?,"""factual"""
The agreement that ignited industrial development during the 1990s was NAFTA.,factual,"During the 1990s after NAFTA was signed, industrial development grew rapidly with foreign investment. Large factories known as maquiladoras were built to export manufactured goods to the United States and Canada. Today, most of the maquiladoras produce electronics, automobile, and aerospace components. There are more than 406 companies operating under the federal IMMEX or Prosec program in Chihuahua. The large portion of the manufacturing sector of the state is 425 factories divided into 25 industrial parks accounting for 12.47% of the maquiladoras in Mexico, which employ 294,026 people in the state. While export-driven manufacturing is one of the most important components of the state's economy, the industrial sector is quite diverse and can be broken down into several sectors, which are: electronics, agro-industrial, wood base manufacturing, mineral, and biotech. Similar to the rest of the country, small businesses continue to be the foundation of the state’s economy. Small business employs the largest portion of the population.[citation needed]",What agreement sparked industrial development during the 1990s?,"""factual"""
"During the visit, the leaders discussed plans to release more political prisoners in Burma.",factual,"In May 2013, Thein Sein became the first Myanmar president to visit the White House in 47 years; the last Burmese leader to visit the White House was Ne Win in September 1966. President Barack Obama praised the former general for political and economic reforms, and the cessation of tensions between Myanmar and the United States. Political activists objected to the visit due to concerns over human rights abuses in Myanmar but Obama assured Thein Sein that Myanmar will receive US support. The two leaders discussed to release more political prisoners, the institutionalisation of political reform and rule of law, and ending ethnic conflict in Myanmar—the two governments agreed to sign a bilateral trade and investment framework agreement on 21 May 2013.",Did the visit to the United States result in the release of political prisoners in Burma ? ,"""factual"""
"""fantastical heroes in imaginary settings""",contradiction,"Lee and freelance artist and eventual co-plotter Jack Kirby's Fantastic Four originated in a Cold War culture that led their creators to revise the superhero conventions of previous eras to better reflect the psychological spirit of their age. Eschewing such comic-book tropes as secret identities and even costumes at first, having a monster as one of the heroes, and having its characters bicker and complain in what was later called a ""superheroes in the real world"" approach, the series represented a change that proved to be a great success.",The emphasis on relatable settings and character motivations in Marvel's 1960s comics is called what?,contradiction
The Stade de France was constructed for the 1998 FIFA World Cup.,factual,"Paris' most popular sport clubs are the association football club Paris Saint-Germain F.C. and the rugby union club Stade Français. The 80,000-seat Stade de France, built for the 1998 FIFA World Cup, is located just north of Paris in the commune of Saint-Denis. It is used for football, rugby union and track and field athletics. It hosts the French national football team for friendlies and major tournaments qualifiers, annually hosts the French national rugby team's home matches of the Six Nations Championship, and hosts several important matches of the Stade Français rugby team. In addition to Paris Saint-Germain FC, the city has a number of other amateur football clubs: Paris FC, Red Star, RCF Paris and Stade Français Paris.",What was the State de France built for?,"""factual"""
Steven Spielberg produced two animated films for Don Bluth: An American Tail and The Land Before Time.,factual,"Since the mid-1980s, Spielberg has increased his role as a film producer. He headed up the production team for several cartoons, including the Warner Bros. hits Tiny Toon Adventures, Animaniacs, Pinky and the Brain, Toonsylvania, and Freakazoid!, for which he collaborated with Jean MacCurdy and Tom Ruegger. Due to his work on these series, in the official titles, most of them say, ""Steven Spielberg presents"" as well as making numerous cameos on the shows. Spielberg also produced the Don Bluth animated features, An American Tail and The Land Before Time, which were released by Universal Studios. He also served as one of the executive producers of Who Framed Roger Rabbit and its three related shorts (Tummy Trouble, Roller Coaster Rabbit, Trail Mix-Up), which were all released by Disney, under both the Walt Disney Pictures and the Touchstone Pictures banners. He was furthermore, for a short time, the executive producer of the long-running medical drama ER. In 1989, he brought the concept of The Dig to LucasArts. He contributed to the project from that time until 1995 when the game was released. He also collaborated with software publishers Knowledge Adventure on the multimedia game Steven Spielberg's Director's Chair, which was released in 1996. Spielberg appears, as himself, in the game to direct the player. The Spielberg name provided branding for a Lego Moviemaker kit, the proceeds of which went to the Starbright Foundation.",What films did Spielberg produce for Don Bluth?,"""factual"""
