answer,type,context,question,qwen
"In Popper's view, we don't need to search for good positive reasons to support theories.",factual,"To Popper, who was an anti-justificationist, traditional philosophy is misled by the false principle of sufficient reason. He thinks that no assumption can ever be or needs ever to be justified, so a lack of justification is not a justification for doubt. Instead, theories should be tested and scrutinised. It is not the goal to bless theories with claims of certainty or justification, but to eliminate errors in them. He writes, ""there are no such things as good positive reasons; nor do we need such things [...] But [philosophers] obviously cannot quite bring [themselves] to believe that this is my opinion, let alone that it is right"" (The Philosophy of Karl Popper, p. 1043)",What don't we need to look for about theories in Popper's view?,"""factual"""
The Augmented Foundation Programme is required for pursuing further education outside of Tuvalu.,factual,"Fetuvalu offers the Cambridge syllabus. Motufoua offers the Fiji Junior Certificate (FJC) at year 10, Tuvaluan Certificate at Year 11 and the Pacific Senior Secondary Certificate (PSSC) at Year 12, set by the Fiji-based exam board SPBEA. Sixth form students who pass their PSSC go on to the Augmented Foundation Programme, funded by the government of Tuvalu. This program is required for tertiary education programmes outside of Tuvalu and is available at the University of the South Pacific (USP) Extension Centre in Funafuti.",Where is the Augmented Programme required for further education?,"""factual"""
The general election for Tucson's city council takes place in November.,factual,"Both the council members and the mayor serve four-year terms; none face term limits. Council members are nominated by their wards via a ward-level primary held in September. The top vote-earners from each party then compete at-large for their ward's seat on the November ballot. In other words, on election day the whole city votes on all the council races up for that year. Council elections are severed: Wards 1, 2, and 4 (as well as the mayor) are up for election in the same year (most recently 2011), while Wards 3, 5, and 6 share another year (most recently 2013).",When is Tucson's city council general election?,"""factual"""
The organization in Plymouth named after Sir Alister Hardy is the Sir Alister Hardy Foundation for Ocean Sciences.,factual,"Plymouth is home to the Marine Biological Association of the United Kingdom (MBA) which conducts research in all areas of the marine sciences. The Plymouth Marine Laboratory is an offshoot of the MBA. Together with the National Marine Aquarium, the Sir Alister Hardy Foundation for Ocean Sciences, Plymouth University's Marine Institute and the Diving Diseases Research Centre, these marine-related organisations form the Plymouth Marine Sciences Partnership. The Plymouth Marine Laboratory, which focuses on global issues of climate change and sustainability. It monitors the effects of ocean acidity on corals and shellfish and reports the results to the UK government. It also cultivates algae that could be used to make biofuels or in the treatment of waste water by using technology such as photo-bioreactors. It works alongside the Boots Group to investigate the use of algae in skin care protects, taking advantage of the chemicals they contain that adapt to protect themselves from the sun.",What Plymouth organization is named for Sir Alister Hardy?,"""factual"""
The independence of the jury is essential for maintaining the integrity of a design competition.,factual,"Architectural design competitions are used by an organisation that plans to build a new building or refurbish an existing building. They can be used for buildings, engineering work, structures, landscape design projects or public realm artworks. A competition typically asks for architects and/or designers to submit a design proposal in response to a given Brief. The winning design will then be selected by an independent jury panel of design professionals and client representatives. The independence of the jury is vital to the fair conduct of a competition.",What is necessary for the integrity of a design competition?,"""factual"""
"After joining the IFL, the Spokane Shock adopted the new name Spokane Empire.",factual,"On August 9, 2015, ESPN reported that the New Orleans VooDoo and Las Vegas Outlaws had ceased operations, effective immediately, a claim which was subsequently validated on the AFL website. On September 1, 2015, the Spokane Shock officially left the AFL and joined the IFL under the new name Spokane Empire, becoming the fifth active AFL/af2 franchise to leave for the IFL since bankruptcy (Iowa Barnstormers, Tri-Cities Fever, Green Bay Blizzard and Arkansas Twisters—now the Texas Revolution—left previously).",What was the name of the Spokane Shock after they joined the IFL?,"""factual"""
Kathmandu first established an international relationship with a city in the US state of Oregon.,factual,"Kathmandu Metropolitan City (KMC), in order to promote international relations has established an International Relations Secretariat (IRC). KMC's first international relationship was established in 1975 with the city of Eugene, Oregon, United States. This activity has been further enhanced by establishing formal relationships with 8 other cities: Motsumoto City of Japan, Rochester of the USA, Yangon (formerly Rangoon) of Myanmar, Xi'an of the People's Republic of China, Minsk of Belarus, and Pyongyang of the Democratic Republic of Korea. KMC's constant endeavor is to enhance its interaction with SAARC countries, other International agencies and many other major cities of the world to achieve better urban management and developmental programs for Kathmandu.",In what US state did Kathmandu first establish an international relationship?,"""factual"""
The German Empire was established in the year 1871.,factual,"By the 1860s the Kingdom of Prussia and the Austrian Empire were the two most powerful nations dominated by German-speaking elites. Both sought to expand their influence and territory. The Austrian Empire – like the Holy Roman Empire – was a multi-ethnic state, but German-speaking people there did not have an absolute numerical majority; the creation of the Austro-Hungarian Empire was one result of the growing nationalism of other ethnicities especially the Hungarians. Prussia under Otto von Bismarck would ride on the coat-tails of nationalism to unite all of modern-day Germany. The German Empire (""Second Reich"") was created in 1871 following the proclamation of Wilhelm I as head of a union of German-speaking states, while disregarding millions of its non-German subjects who desired self-determination from German rule.",When was the German Empire created?,"""factual"""
The division winners advanced to the World Series by competing in a best-of-five series.,factual,"In 1984, each league had two divisions, East and West. The divisional winners met in a best-of-5 series to advance to the World Series, in a ""2–3"" format, first two games were played at the home of the team who did not have home field advantage. Then the last three games were played at the home of the team, with home field advantage. Thus the first two games were played at Wrigley Field and the next three at the home of their opponents, San Diego. A common and unfounded myth is that since Wrigley Field did not have lights at that time the National League decided to give the home field advantage to the winner of the NL West. In fact, home field advantage had rotated between the winners of the East and West since 1969 when the league expanded. In even numbered years, the NL West had home field advantage. In odd numbered years, the NL East had home field advantage. Since the NL East winners had had home field advantage in 1983, the NL West winners were entitled to it.",The division winners met in what kind of series to advance to the World Series?,"""factual"""
"The Book of Optics, written by Ibn al-Haytham in the early 11th century, discussed space perception and its epistemological implications.",factual,"In the early 11th century, the Muslim physicist Ibn al-Haytham (Alhacen or Alhazen) discussed space perception and its epistemological implications in his Book of Optics (1021), he also rejected Aristotle's definition of topos (Physics IV) by way of geometric demonstrations and defined place as a mathematical spatial extension. His experimental proof of the intromission model of vision led to changes in the understanding of the visual perception of space, contrary to the previous emission theory of vision supported by Euclid and Ptolemy. In ""tying the visual perception of space to prior bodily experience, Alhacen unequivocally rejected the intuitiveness of spatial perception and, therefore, the autonomy of vision. Without tangible notions of distance and size for correlation, sight can tell us next to nothing about such things.""",Which 11th century book discussed space perception and its epistemological implications?,"""factual"""
