answer,type,context,question
The U.S. Government has emphasized a policy of deregulation from the 1970s onward.,factual,"While the housing and credit bubbles were building, a series of factors caused the financial system to both expand and become increasingly fragile, a process called financialization. U.S. Government policy from the 1970s onward has emphasized deregulation to encourage business, which resulted in less oversight of activities and less disclosure of information about new activities undertaken by banks and other evolving financial institutions. Thus, policymakers did not immediately recognize the increasingly important role played by financial institutions such as investment banks and hedge funds, also known as the shadow banking system. Some experts believe these institutions had become as important as commercial (depository) banks in providing credit to the U.S. economy, but they were not subject to the same regulations.",What policy has U.S. Government emphasized from the 1970's onward?
The United States Air Force initiated their research on Intercontinental Ballistic Missiles (ICBMs) in the year 1945.,factual,"The United States had multiple rocket programs divided among the different branches of the American armed services, which meant that each force developed its own ICBM program. The Air Force initiated ICBM research in 1945 with the MX-774. However, its funding was cancelled and only three partially successful launches were conducted in 1947. In 1950, von Braun began testing the Air Force PGM-11 Redstone rocket family at Cape Canaveral. In 1951, the Air Force began a new ICBM program called MX-1593, and by 1955 this program was receiving top-priority funding. The MX-1593 program evolved to become the Atlas-A, with its maiden launch occurring June 11, 1957, becoming the first successful American ICBM. Its upgraded version, the Atlas-D rocket, would later serve as an operational nuclear ICBM and as the orbital launch vehicle for Project Mercury and the remote-controlled Agena Target Vehicle used in Project Gemini.",The US Air Force began research of ICBMs in what year?
"Beyoncé gave birth to her daughter on January 7, 2012.",factual,"On January 7, 2012, Beyoncé gave birth to her first child, a daughter, Blue Ivy Carter, at Lenox Hill Hospital in New York. Five months later, she performed for four nights at Revel Atlantic City's Ovation Hall to celebrate the resort's opening, her first performances since giving birth to Blue Ivy.",When did Beyoncé give birth to a daughter?
The New Forest is located on the opposite bank of the River Test from Southampton.,factual,"The River Test runs along the western border of the city, separating it from the New Forest. There are bridges over the Test from Southampton, including the road and rail bridges at Redbridge in the south and the M27 motorway to the north. The River Itchen runs through the middle of the city and is bridged in several places. The northernmost bridge, and the first to be built, is at Mansbridge, where the A27 road crosses the Itchen. The original bridge is closed to road traffic, but is still standing and open to pedestrians and cyclists. The river is bridged again at Swaythling, where Woodmill Bridge separates the tidal and non tidal sections of the river. Further south is Cobden Bridge which is notable as it was opened as a free bridge (it was originally named the Cobden Free Bridge), and was never a toll bridge. Downstream of the Cobden Bridge is the Northam Railway Bridge, then the Northam Road Bridge, which was the first major pre-stressed concrete bridge to be constructed in the United Kingdom. The southernmost, and newest, bridge on the Itchen is the Itchen Bridge, which is a toll bridge.",What forest is on the opposite bank of the River Test from Southampton?
Ninety-seven percent of male BYU graduates and 32 percent of female graduates took a break from their undergraduate studies at some point to serve as LDS missionaries.,factual,"Some 97 percent of male BYU graduates and 32 percent of female graduates took a hiatus from their undergraduate studies at one point to serve as LDS missionaries. In October 2012, the LDS Church announced at its general conference that young men could serve a mission after they turn 18 and have graduated from high school, rather than after age 19 under the old policy. Many young men would often attend a semester or two of higher education prior to beginning missionary service. This policy change will likely impact what has been the traditional incoming freshman class at BYU. Female students may now begin their missionary service anytime after turning 19, rather than age 21 under the previous policy. For males, a full-time mission is two years in length, and for females it lasts 18 months.",What percentage of graduates had taken a hiatus from their BYU studies to serve as an LDS missionary?
"To simplify plain text data, Multics used line feed (LF) by itself as the line terminator.",factual,"Unfortunately, requiring two characters to mark the end of a line introduces unnecessary complexity and questions as to how to interpret each character when encountered alone. To simplify matters plain text data streams, including files, on Multics used line feed (LF) alone as a line terminator. Unix and Unix-like systems, and Amiga systems, adopted this convention from Multics. The original Macintosh OS, Apple DOS, and ProDOS, on the other hand, used carriage return (CR) alone as a line terminator; however, since Apple replaced these operating systems with the Unix-based OS X operating system, they now use line feed (LF) as well.",What id Multics use to simplify plain text data?
"In addition to temporarily suspending their obligations, the other parties may also permanently terminate the treaty due to a material breach of its obligations by one party.",factual,"If a party has materially violated or breached its treaty obligations, the other parties may invoke this breach as grounds for temporarily suspending their obligations to that party under the treaty. A material breach may also be invoked as grounds for permanently terminating the treaty itself.","In addition to suspending their obligations under a treaty to the violating party, what may result from a material breach of treaty obligations?"
"Like Nasser, other Arab leaders have been unable to communicate directly with the public masses of the Arab world, bypassing the various heads of state in those countries.",factual,"Through his actions and speeches, and because he was able to symbolize the popular Arab will, Nasser inspired several nationalist revolutions in the Arab world. He defined the politics of his generation and communicated directly with the public masses of the Arab world, bypassing the various heads of states of those countries—an accomplishment not repeated by other Arab leaders. The extent of Nasser's centrality in the region made it a priority for incoming Arab nationalist heads of state to seek good relations with Egypt, in order to gain popular legitimacy from their own citizens.",What have other Arab leaders been unable to do that Nasser was?
"Francis Basset, a backbench Whig MP, stated that he 'perfectly differed from Mr. Fox' in regards to the French Revolution.",factual,"Although Whig grandees such as Portland and Fitzwilliam privately agreed with Burke's Appeal, they wished he had used more moderate language. Fitzwilliam saw the Appeal as containing ""the doctrines I have sworn by, long and long since"". Francis Basset, a backbench Whig MP, wrote to Burke: ""...though for reasons which I will not now detail I did not then deliver my sentiments, I most perfectly differ from Mr. Fox & from the great Body of opposition on the French Revolution"". Burke sent a copy of the Appeal to the king and the king requested a friend to communicate to Burke that he had read it ""with great Satisfaction"". Burke wrote of its reception: ""Not one word from one of our party. They are secretly galled. They agree with me to a title; but they dare not speak out for fear of hurting Fox. ... They leave me to myself; they see that I can do myself justice"". Charles Burney viewed it as ""a most admirable book—the best & most useful on political subjects that I have ever seen"" but believed the differences in the Whig Party between Burke and Fox should not be aired publicly.",Who said he 'perfectly differed from Mr. Fox'?
"Aposematism benefits the entire population of the species, not just the individual organism directly involved.",factual,"Aposematism, where organisms are brightly colored as a warning to predators, is the antithesis of camouflage. Some organisms pose a threat to their predators—for example they may be poisonous, or able to harm them physically. Aposematic coloring involves bright, easily recognizable and unique colors and patterns. For example, bright coloration in Variable Checkerspot butterflies leads to decreased predation attempts by avian predators. Upon being harmed (e.g., stung) by their prey, the appearance in such an organism will be remembered as something to avoid. While that particular prey organism may be killed, the coloring benefits the prey species as a whole.","Does aposematism benefit only the organism ddirectly, or the entire population as a whole?"
