answer,type,context,question,qwen
"In newly electrified lines, a phenomenon known as the ""sparks effect"" can be observed, where electrification in passenger rail systems results in significant increases in patronage and revenue.",factual,,What can be seen in the newly electrified lines?,"""factual"""
5.1,contradiction,,How many square miles of Richmond is water?,"""factual"""
Humanistic psychology gained prominence in the 20th century.,factual,,In what century did humanistic phycology rise in prominence?,"""factual"""
The University Revolution took place in Argentina.,factual,,In what nation did the University Revolution occur?,"""factual"""
Hunter-gatherers intentionally manipulate the landscape by cutting or burning undesirable plants and promoting desirable ones.,factual,,What do hunter-gathers intentionally manipulate?,"""factual"""
Adolf Hitler was the leader of the Nazi Party.,irrelevant,,Recent systems can record a broadcast HD program in what format?,irrelevant
DIANE in Project DIANE stands for Diversified Information and Assistance Network.,irrelevant,,What is often referred to as a religion by many sources?,irrelevant
Ibn Sina departed from Rey and relocated to the city of Hamadãn.,factual,,Ibn Sina left Rey and moved southwards to what city?,"""factual"""
"The band Def Leppard, which is named after an animal, has been inspired by Queen.",factual,,This band named after an animal was inspired by Queen?,factual
Sony has sent requests to the search engine giant Google regarding content on a website.,factual,,What search engine company giant has Sony sent requests to regarding content on a website?,"""factual"""
Late Registration sold over 2.3 million copies in the United States by the end of 2005.,factual,,How many copies of Late Registration were sold in the United States?,"""factual"""
Billaut captured Chihuahua in the year 1865.,factual,,In which year did Billaut capture Chihuahua?,contradiction
Alan Turing,contradiction,,"Who created the relay computer, the Z2?","""factual"""
Victoria's Golden Jubilee was held in the year 1887.,factual,,What year was Victoria's Golden Jubilee held?,"""factual"""
"According to Baptist doctrine, only those who openly profess their faith and belief should receive baptism.",factual,,"According to Baptists, who should have baptisms?","""factual"""
The NME and Sounds were popular British music publications that played a significant role in shaping the emerging post-punk culture.,factual,,What were popular post-punk culture media sources?,"""factual"""
"In the United States, the organization responsible for approving the safety and efficacy of new drugs is the Food and Drug Administration (FDA).",factual,,The safety and efficacy of new drugs must be approved by what organization in the US?,"""factual"""
"After World War II, the coming out ceremony was replaced by more casual afternoon receptions.",factual,,After WWII what was the coming out ceremony replaced with?,"""factual"""
"The disease that caused numerous casualties during the Walcheren Campaign was commonly known as ""Walcheren Fever.""",factual,,What was the popular name of the disease that caused many casualties during the Walcheren Campaign?,"""factual"""
"In Minkowski spacetime, two events are separated by an invariant interval, which is independent of the observer and their velocity.",factual,,What are two events in Minkowski spacetime separated by?,"""factual"""
"The Andaman Sea, located to the southwest and south of Burma, is an integral part of the country's landscape, forming one quarter of its total perimeter.",factual,,What sea is an integral part of the Burma landscape ?,"""factual"""
Thomas Alva Edison is credited with creating the film and meter system.,contradiction,,Who is credited with creating the film and meter system?,"""factual"""
Aram Khatchaturian was a renowned classical music composer.,factual,,What was Aram Khatchaturian's career?,"""factual"""
The Sahara experiences high temperatures throughout the entire year.,factual,,What is the temperature like year around in the desert?,"""factual"""
