answer,type,context,question,model_context
The hypothesis that attempted to explain heredity was known as pangenesis.,factual,,What was the hypothesis that attempted to explain heredity?,"Before the modern understanding of genetics, several hypotheses were proposed to explain how traits are passed from parents to offspring."
Bacteria have both symbiotic and parasitic relationships with plants and animals.,factual,,What is the relationships between plants animals and bacteria?,"Plants, animals, and bacteria are interconnected through a complex web of biological interactions that facilitate life on Earth. These relationships range from individual symbioses to massive, ecosystem-wide cycles."
"During the New Kingdom, Egypt was invaded and conquered by several groups, including Libyans, Nubians, and Assyrians.",factual,,Who were some of the invaders to Egypt during the New Kingdom?,"During the New Kingdom period (c. 16th to 11th centuries BCE), Egypt encountered various groups in conflicts and invasions, including the Hittites, the Libyans, and the Sea Peoples."
"In 2009, Lonely Planet ranked Thessaloniki, Greece's second-largest city, as the world's fifth best ""Ultimate Party Town.""",factual,,What Greek city was rated the world's fifth best ultimate party town by 2009's Lonely Planet?,"In 2009, Thessaloniki was rated the world's fifth best ultimate party town by Lonely Planet in its guide 1000 Ultimate Experiences."
Zinc carbonate is poorly absorbed in the body because it is nearly insoluble.,factual,,Why is zinc carbonate poorly absorbed in the body?,
The separationist position on the Establishment Clause is comprised of two key propositions.,factual,,How many propositions make up the separationist position on the Establishment Clause?,
East 2nd Street is the street that starts just north of East Houston Street and extends to Bowery.,factual,,Which street begins just North of East Huston Street and continues to Bowery?,
Eannatum's empire fell apart shortly after he passed away.,factual,,What happened to Eannatum's empire after his death?,
"Anthropologists began to shift their focus from distant cultures to those closer to home, ""looking across the tracks,"" only in the late 1960s.",factual,,"When did anthropologists stop looking for cultures far away and instead began to ""look across the tracks""?","Anthropologists began to ""look across the tracks""—shifting their research focus from distant, non-Western cultures to the study of urban and Western societies—primarily in the late 1960s and 1970s."
The name of the large shopping center is Hoog Catharijne.,factual,,What is the name of the large shopping center ,"Depending on your location and the context, there are several ""large shopping centers"" that could fit your description."
"The estimated total number of protein-coding genes on Earth, known as the Earth's proteome, is approximately 5 million sequences.",factual,,What is the estimate for the total number of protein coding genes on Earth?,"Determining a total count for all protein-coding genes on Earth is an ongoing challenge in biology, but scientists use established counts for well-studied species and broader estimates for the ""global protein universe."""
Pope Pius V declared that the title of cardinal would be reserved for those from Rome.,factual,,Which pope declared that cardinals would be from Rome?,"In 1059, Pope Nicholas II issued the decree In nomine Domini, which established that cardinals would be the sole electors of the Pope and specifically required them to be members of the Roman clergy."
The two princesses resided at Windsor Castle for the majority of the war.,factual,,Where did the two princesses live for most of the war?,Princess Elizabeth and Princess Margaret lived at Windsor Castle for the vast majority of World War II.
"Avignon served as the seat of the papacy for the majority of the 14th century, from 1309 to 1376.",factual,,What city was the seat of the papacy for most of the 14th century?,"The city that served as the seat of the papacy for most of the 14th century was Avignon, in southeastern France."
A test to gather data on student preference for MP3 quality was conducted at Stanford University.,factual,,Where was a test performed to collect data on student preference for MP3 quality?,Tests to collect data on student preference for MP3 quality were primarily conducted at Stanford University by music professor Jonathan Berger.
The war that occurred after the end of World War II was the Cold War.,factual,,What war occurred after the end of World War II?,"After World War II ended in 1945, the world entered the Cold War (1947–1991), a period of geopolitical tension primarily between the United States and the Soviet Union. While this was not a ""hot"" war between the two superpowers, it sparked numerous major regional conflicts and proxy wars."
An omnivore is an animal that consumes both animal prey and plant matter as part of its diet.,factual,,What does a omnivore imply?,"In biology, an omnivore is an organism that consumes a variety of materials as its primary food source, typically including both plants and animals. The term originates from the Latin words omnis (""all"") and vorare (""to devour"")."
The New Testament consists of 27 books.,factual,,How many books are in the New Testament?,"In almost all Christian traditions, there are 27 books in the New Testament. While Catholic, Protestant, and Orthodox Bibles differ in the number of books they include in the Old Testament, they all agree on the same 27-book canon for the New Testament."
"Other names for a protagonist in professional wrestling include ""babyface"" and ""the good guy.""",factual,,What are other names for a protagonist?,"In addition to protagonist, there are several alternative terms used depending on the context of the story or the character's moral standing:"
"After the Second Punic War, the Romans sought to re-establish their influence in the Balkans.",factual,,In what region did the Romans aim to re-bolster the influence after the Second Punic war?,"After the Second Punic War (218–201 BCE), the Romans aimed to re-bolster and formalize their influence in several key regions of the Mediterranean to prevent future threats and secure newly acquired wealth."
New York City is known as the Capital of Baseball.,factual,,NYC is known as the Capital of which sport?,"New York City is most famously known as the ""Capital of Baseball""."
Thirteen percent of the members of the Academy of Science were clerics.,factual,,What percentage of clerics were members of the Academy of Science?,Data regarding the exact percentage of clerics in scientific academies varies by the specific institution and historical era:
Eisenhower was granted authority over the British Eighth Army in February 1943.,factual,,When did Eisenhower receive authority over the British Eighth Army?,Dwight D. Eisenhower received authority over the British Eighth Army in February 1943.
"The Genocide Convention, at its core, aims to prevent the destruction of entire human groups.",factual,,"In the judgement, it is stated that the aim of the Genocide Convention, at its most simplest, is preventing the destruction of which victims?","In the simplest terms, the Genocide Convention aims to prevent the destruction of entire human groups."
16.7% of households have children under the age of 18 living in them.,factual,,What percent of household have children under 18?,"In 2024, approximately 39% of family households in the United States included children under the age of 18."
The Fraunhofer Gesellschaft is the company that holds many of the fundamental patents for these other formats.,factual,,Which company owns many of the patents that cover the other formats?,"In 2026, Via Licensing Alliance (Via LA) is the leading company responsible for administering the patent pools that cover most major consumer electronics and media formats."
The largest copper discovery ever made weighed an impressive 420 metric tons.,factual,,How large was the biggest find of copper?,"The ""biggest find"" of copper can be measured in two ways: as a single massive chunk of pure (native) metal or as a giant geological deposit (ore body)."
Parliamentary politics in Egypt became virtually irrelevant by the late 1990s.,factual,,When did parliamentary politics become irrelevant in Egypt?,"Parliamentary politics in Egypt has been widely characterized as irrelevant or a ""democratic facade"" for several decades, but its most recent and absolute marginalization occurred in 2015."
Two smaller galleries in Nanjing are the Red Chamber Art Garden and the Jinling Stone Gallery.,factual,,What are two smaller galleries in Nanjing?,"For smaller, more focused art experiences in Nanjing, consider the Sifang Art Museum and the Golden Eagle Art Museum (G Museum), which are private institutions with distinct focuses."
"According to Hayek, unemployment was also caused by artificially low interest rates.",factual,,"Apart from easy money, what did Hayek believe unemployment was caused by?","Friedrich Hayek believed that beyond expansionary monetary policy (or ""easy money""), unemployment was fundamentally caused by malinvestments and structural misalignments within the economy. He argued that unemployment arises when the distribution of labor and resources fails to match the actual distribution of demand, often due to distortions in the price system."
The Office of Management and Budget (OMB) is the entity responsible for defining the concept of race in the United States Census.,factual,,Who defines the concept of race in the United States Census?,"The concept of race in the United States Census is defined by the U.S. Office of Management and Budget (OMB), not by the Census Bureau itself. Census.gov +1"
Ninety percent of labels had signed contracts with YouTube prior to the planned launch date.,factual,,What was the percentage of labels youtube had signed contracts with prior to the planned launch date?,"Prior to the launch of its first music subscription service (Music Key) in late 2014, YouTube reported having signed contracts with labels representing 95% of the recorded music industry."
"""Swept Away"" is the movie that was a box office bomb for Madonna.",factual,,Which one of Madonna's movie is a box office bomb?,Several of Madonna's films have been characterized as box office bombs or commercial failures:
London's West End is home to 40 theaters.,factual,,How many theaters does London's West End have?,"London's West End has 39 official commercial theatres. There are around 40 theatres in the general ""Theatreland"" area, with some non-commercial venues also located within the district."
"Yes, short-range Bluetooth accessories, such as wireless keyboards, are allowed to be used during flights.",factual,,Are short-range bluetooth accessories able to be used?,"Yes, short-range Bluetooth accessories are widely used in everyday life to connect devices like headphones, speakers, keyboards, and smartwatches to smartphones, tablets, and laptops. They operate effectively within a limited distance, typically up to about 33 feet (10 meters) for most consumer products."
The Times was aggressively selling the Encyclopædia Britannica to American markets.,factual,,Which encyclopedia was The Times aggressively selling to American markets?,"In the late 19th and early 20th centuries, The Times (of London) was aggressively selling the Encyclopædia Britannica to American and British markets."
Beyoncé experienced a period of depression.,factual,,What mental health issue did Beyonce go through?,"Beyoncé has been open about her experiences with several mental and physical health challenges, primarily tied to the intense pressures of her career and personal life."
The number of pubs in the United Kingdom began to decline in 1982.,factual,,In what year did the number of United Kingdom pubs generally start to decline?,"The number of United Kingdom pubs generally started to decline in the early 1980s, though the decline accelerated significantly from the early 2000s, particularly around 2007."
"In some places along the route, confetti was showered.",factual,,What was showered along the route in some places?,"Along historical or ceremonial routes, several different items have been documented as being showered upon travelers or the road itself:"
Persistent infections are characterized by the ongoing presence of the infectious organism.,factual,,What are persistent infections characterized by the continual presence of?,"Persistent infections are characterized by the continual presence of the infectious agent (such as a virus or bacterium) within the host's body. Unlike acute infections, which are typically cleared by the immune system within a short period, persistent infections are not eliminated and can remain for an extended duration, often for the life of the host."
The Ottonian dynasty ruled Germany during the early High Middle Ages.,factual,,What dynasty controlled Germany in the early High Middle Ages?,"In the early High Middle Ages (roughly 1000–1150 AD), Germany—then the core of the Holy Roman Empire—was controlled primarily by two successive dynasties:"
"The monasteries in Lucerne, Switzerland and Oberammergau were constructed by the Benedictines.",factual,,"Who built monasteries in Lucerne, Switzerland and Oberammergau?","Monasteries in Lucerne and near Oberammergau were built by noblemen from Alemannia, various religious orders (Franciscans, Jesuits, Benedictines, Capuchins), and Holy Roman Emperor Ludwig the Bavarian."
Southampton received the charter that named it 'The Town and County of the Town of Southampton' in the year 1640.,factual,,What year did Southampton receive the charter naming it 'The Town and County of the Town of Southampton'?,"Southampton was granted the formal title of ""The Town and County of the Town of Southampton"" in 1640."
"In the 16th century, the less educated Dutch speakers in rural areas were using lowered diphthongs in their pronunciation.",factual,,What specific type of diphthongs were the less educated Dutch speakers in the countryside using in the 16th century?,"In the 16th century, less educated speakers and those in rural areas (particularly in the eastern and northern provinces) typically used monophthongs rather than the newly developing diphthongs."
Groups consisting of symmetries of given arithmetic concepts are known as symmetry groups.,factual,,What are groups consisting of symmetries of given arithmetic concepts?,"In mathematics, groups that consist of the symmetries of arithmetic or algebraic concepts are primarily categorized as automorphism groups. These groups represent all structure-preserving transformations of a given mathematical object."
The leader of Estonia's government is the Prime Minister of Estonia.,factual,,Who is the leader of Estonia's government?,"As of January 2026, the leader of Estonia's government is Prime Minister Kristen Michal."
One-third of female academics reported that they were held back by managers.,factual,,What portion of females reported that they were held back by managers?,"While specific phrasing varies by study, various reports indicate that a significant portion of women feel their career progression is hindered by management-related factors:"
The Schrödinger wave equation was proposed in 1926.,factual,,When was the Schrödinger wave equation proposed?,The Schrödinger wave equation was proposed in 1925 and formally published in 1926 by Austrian physicist Erwin Schrödinger.
"Children from suburban communities are more likely to participate in activities that benefit their identity because they are exposed to more opportunities and generally better situations, which contribute to a more successful identity development.",factual,,Why are children from suburban communities more likely to participate in activies that benefit their identity?,"Children from suburban communities are more likely to participate in activities that benefit their identity primarily due to increased access to resources, opportunities, and supportive community environments, often linked to higher socioeconomic status (SES). These factors facilitate participation in extracurricular and community-based activities that support positive identity formation."
The burning of the U.S. embassy in Libya was prompted by the Iran hostage crisis.,factual,,What event prompted the burning of the US embassy in Libya?,"In modern history, there are two distinct instances where a U.S. diplomatic facility in Libya was burned, each prompted by different events:"
The gymnast is the one who chooses their starting position on the runway.,factual,,Who gets to chose where a gymnast starts to run on the runway?,"The gymnast has the final choice in selecting their exact starting distance on the vault runway. While the total runway length is standardized at approximately 25 meters (82 feet), athletes choose their specific starting point to ensure they reach maximum speed and hit their steps perfectly for the springboard."
The combination of Gunlaying radar and RAF controls led to the development of the Ground Control-led Interception (GCI) system.,factual,,Gunlaying radar and RAF controls combined to create what system?,"During World War II, the combination of gun-laying radar (such as Village Inn) and Royal Air Force (RAF) controls created the Automatic Gun-Laying Turret (AGLT)."
Interference can hinder the processes of memorization and retrieval.,factual,,What trouble can interference cause?,"Interference—whether electromagnetic (EMI) or radio frequency (RFI)—acts like a noisy neighbor for your electronics, disrupting the clear ""conversations"" between devices."
"The Italian Navy launched its first attack on Valencia on January 13, 1937.",factual,,When did the Italian Navy first attack Valencia?,"The Italian Navy (Regia Marina) first attacked Valencia on February 14, 1937, during the Spanish Civil War."
UNFPA's mission is focused on promoting the rights and health of women and young people.,factual,,UNFPA's mission is to promote the rights and health of whom?,"UNFPA's mission is to promote the rights and health of every woman, man and child, with a particular focus on women, girls, and young people."
"During the Eocene, large lakes started to form in the high, flat basins among the uplifts in western North America.",factual,,What began to form in the flat basins in North America during the Eocene?,"During the Eocene epoch, huge lakes began to form in the high, flat basins between mountain uplifts in western North America. This process occurred during a transition from compressional to extensional tectonic forces, following the end of the Laramide Orogeny."
Ptolemy was defeated in the Fifth Syrian War.,factual,,In what war was Ptolemy defeated?,"Because the Ptolemaic dynasty spanned nearly 300 years, several kings named Ptolemy suffered significant military defeats across different conflicts. The most prominent include:"
"In the 20th century, the primary focus of universities shifted to science.",factual,,What was the focus of universities in the 20th century?,"In the 20th century, universities underwent a profound transformation, shifting from elite institutions focused on religious and liberal arts traditions to mass institutions centered on specialized research, professional training, and societal progress."
"In most Protestant churches, women have been assuming leading positions, such as bishops, since around 1950.",factual,,What types of churches have women had leading positions?,"In many Christian and non-Christian religious traditions, women have held significant leadership roles, including positions as pastors, bishops, and even heads of entire denominations. These roles are most common in Mainline Protestant denominations, though they are also found in Pentecostal, Methodist, and Jewish traditions."
Travel will remain unrestricted in New Delhi's alternate day driving scheme on Sundays.,factual,,On what day of the week will travel remain unrestricted by New Delhi's alternate day driving scheme?,"The New Delhi alternate day driving scheme is not currently active. However, when the scheme has been implemented in the past, Sundays were completely unrestricted for all vehicles."
The funneling process that occurs to bring blood back to the heart is called vasodilation.,factual,,What is the funneling that occurs that brings blood back to the heart?,"The ""funneling"" of blood back to the heart refers to the convergence of the venous system, where millions of tiny vessels merge into progressively larger ones to return deoxygenated blood to the right side of the heart."
"The difficulty in a system containing availability, consistency, and partition tolerance guarantees is explained by the CAP theorem.",factual,,"What explains the difficulty in a system containing availability, consistency, and partition tolerance guarantees?","The difficulty stems from the CAP Theorem (or Brewer's Theorem), which states that a distributed system can only simultaneously provide two out of three specific guarantees: Consistency, Availability, and Partition Tolerance."
"Bermuda serves as the northernmost point of the Bermuda Triangle, a region known for unexplained disappearances of aircraft and vessels.",factual,,Bermuda stands as a northern point in what susposed area of strange activity and disappearances?,"Bermuda serves as the northernmost vertex of the Bermuda Triangle, a loosely defined region in the western North Atlantic Ocean infamous for reported ""strange activity"" and disappearances of ships and aircraft."
"Nigeria held a free and fair election on June 12, 1993.",factual,,When did Nigeria finally hold a fair election?,"In Nigeria’s political history, the presidential election held on June 12, 1993, is widely regarded by citizens and international observers as the most free, fair, and credible since the country gained independence in 1960."
The nobility in Poland gained power at the expense of the king.,factual,,What happened to nobility at expense of the king?,"Historically, the power and status of the nobility often declined as monarchs consolidated central authority. This process, occurring primarily between the late Middle Ages and the early modern period, saw kings employ several strategies to ""tame"" the aristocracy and elevate the crown's power:"
The Dean of the College of Cardinals is the one who receives the bishopric of Ostia.,factual,,Who receives the hishopric of Ostia?,"The Dean of the College of Cardinals receives the titular bishopric (or see) of Ostia, in addition to the title of the suburbicarian diocese he already holds. The current Dean is Cardinal Giovanni Battista Re."
"Many insects can perceive not only visible light and ultraviolet, but also infrared light.",factual,,"Many insects are able to see visible light, ultraviolet, and what other kind of light?","In addition to visible and ultraviolet (UV) light, many insects have the specialized ability to detect polarized light. This unique sense allows them to perceive the orientation of light waves, which is used for advanced navigation and environmental identification."
Trade goods in southern Mesopotamia were transported via the extensive network of canals and rivers that crisscrossed the region.,factual,,How were trade goods transported in southern Mesopotamia?,"Trade goods in southern Mesopotamia were transported primarily using riverboats on the Tigris and Euphrates rivers and their canals, as well as by overland caravans using pack animals. The choice of transport depended on the type of goods, distance, and terrain."
"Brasília is focusing on promoting industries such as software, film, video, and gemology.",factual,,What industries is Brasilia trying to encourage?,"The government of Brazil (from its capital, Brasília) is encouraging several industries as part of its ""New Industry Brazil"" (Nova Indústria Brasil, or NIB) plan, focusing on digital transformation, health, sustainable infrastructure, agro-industry, bioeconomy, and defense technologies."
"Joara is a regional chiefdom of the Mississippian culture, located near present-day Morganton.",factual,,What is Joara?,"Joara refers to two distinct primary entities: a major Native American settlement and archaeological site in North Carolina, and a South Korean digital fiction platform."
The members of the Hong Kong Alliance in Support of Patriotic Democratic Movements in China waved novelty inflatable plastic Olympic flames to symbolize democracy.,factual,,What did Hong Kong Alliance in Support of Patriotic Democratic Movements in China members wave to symbolize democracy?,Members of the Hong Kong Alliance in Support of Patriotic Democratic Movements in China primarily used lit candles at their annual vigils to symbolize their commitment to democracy and memory.
A significant minority of whites in Namibia can trace their ancestry back to German settlers who colonized the region before the British seized German territories following World War One.,factual,,Where do a large minority of whites trace their Namibian roots to?,A large minority of white Namibians trace their roots back to German settlers who colonized the region in the late 19th century.
"By the end of 1927, von Neumann had published a total of twelve significant papers in the field of mathematics.",factual,,By the end of 1927 how many papers had Von Neuman written?,"By the end of 1927, John von Neumann had published 12 major papers in mathematics."
"The lawsuits against Harvard and Chapel Hill were filed on November 17, 2014.",factual,,On which date were lawsuits filed against Harvard and Chapel Hill?,"The lawsuits against Harvard University and the University of North Carolina at Chapel Hill (UNC) were both filed on November 17, 2014."
