answer,type,context,question,qwen
"The term ""Irano-Aryan"" was first used in 1878.",factual,,When was the phrase Irano-Aryan first used?,factual
"Direct-to-disc recordings were expected to produce a ""purist"" transcription, as they bypassed the use of magnetic tape and were transcribed directly to the master lacquer disc.",factual,,What were direct to disc recordings expected to product?,"""factual"""
A compromise regarding administrative procedures for law determination was reached in 1941.,factual,,When was a compromise reached over administrative procedures for law determination?,"""factual"""
Tim Staffell departed from the band Smile in the year 1970.,factual,,Tim Staffell left the band Smile in what year?,"""factual"""
"The first permanent colony in Florida, which was established by the British, is now known as Duval County, Baker County, St. Johns County, and Nassau County.",factual,,The first Permanent Colony in Florida is Now known as ,contradiction
Originality and attribution,contradiction,,What terms are often linked to people who illegally use or distribute content that is not their own?,irrelevant
"During the summer, temperatures in New Haven exceed 90 °F (32 °C) on 7 to 8 days each year.",factual,,Does summertime gets weather hotter than 90 degrees?,"""factual"""
Kanye West collaborated with the renowned British musician Paul McCartney on several singles.,factual,,What famous British artist worked with Kanye on multiple singles?,"""factual"""
Anti-Slavery International and the Environmental Justice Foundation (EJF) accused H&M of using products made by child labor.,factual,,Who accused H&M of using products made by child labours?,"""factual"""
Paramount is currently owned by Viacom.,factual,,Who owns Paramount?,factual
The High Victorian Gothic period in Britain spanned from 1855 to 1885.,factual,,During what years was the High Victorian Gothic period in Britain?,"""factual"""
"In Western Catalan, unstressed vowels reduce to five distinct sounds: /e ɛ/ merge to [e], /o ɔ/ merge to [o], and /a u i/ remain unchanged.",irrelevant,,"In contrast to genomics, genetics usually studies what?",irrelevant
The modern day currency began featuring the faces we see today after the early 20th century.,factual,,When did modern day currency start getting the faces that they have?,factual
The nations that were once part of the 19th century empires have largely abandoned the term Near East.,factual,,Who has abandoned the term Near East?,contradiction
Braque and Gris remained in Montmartre until after the First World War ended.,irrelevant,,What is a problem one might encounter when using a portable antenna?,irrelevant
"Nicaraguans came to America due to political instability during the late 1970s and 1980s, which included the Sandinista revolution and the US-supported Contra War.",factual,,Why did the Nicaraguans come to America?,"""factual"""
The topic of the first Solvay Conference was the theory of radiation and quanta.,factual,,What was the topic of the first Solvay Conference?,"""factual"""
electronic programming,contradiction,,What do the initials EP stand for?,contradiction
A hunter-gathering lifestyle was prevalent in Siberia until the European Age of Discovery.,factual,,What type of lifestyle was prevalent in Siberia until the European Age of Discovery?,contradiction
John's royal household was composed of various groups of supporters.,factual,,John's royal household was based around what?,factual
"In 2012, Tottenham Hotspur was the team that was denied entry into the Champions League. They were bumped out of the running by the defending champion, Chelsea, who had won the Champions League the previous year but finished sixth in the league.",factual,,Which team was denied entry into the Champions League in 2012 due to being bumped out of the running by the defending champion?,"""factual"""
St. Barts typically experiences an arid climate.,factual,,What type of climate does St. Barts typically have?,contradiction
The Bishops of Utrecht lost their worldly power and became solely spiritual leaders.,contradiction,,What hapend when Frankish rulers established the system of feudalism,"""factual"""
"Aftershocks, some of which were greater than magnitude 6, continued to be felt in the area for months following the main earthquake.",factual,,How long after the earthquake were aftershocks felt?,factual
"After their victory in the Battle of Mohács in 1526, the Ottoman Empire expanded Turkish rule into the territory of present-day Hungary, with the exception of the western part of the country.",factual,,After a victorious battle in 1526 in what present-day nation was Turkish rule expanded to?,"""factual"""
"During the Little Ice Age, French and English farmers utilized fruit walls to maximize the capture of solar energy for their crops.",factual,,What did French and English farmers do during the Little Ice Age to gain more solar energy?,contradiction
Tucson is located 60 miles north of the U.S.-Mexico border.,factual,,How many miles is Tuscon from the U.S.- Mexico border?,"""factual"""
"Pope Paul VI was the one who described the Anglican Church as ""our beloved sister Church.""",irrelevant,,What two geographies did Frederick want for Prussia?,irrelevant
The number of people who could potentially be homeless may be as high as 11 million.,factual,,How many people might actually be homeless?,"""factual"""
"The Bosporan Kingdom, ruled by the Spartocid dynasty, was comprised of various ethnic groups including Maeotians, Thracians, Crimean Scythians, and Cimmerians.",irrelevant,,"How many days of rain does Nanjing get a year, on average?",irrelevant
Another hotel chain operating in Windhoek is Hilton Hotels and Resorts.,factual,,"Avani Hotels and resorts is a chain resort in Windhoek, what is another?",factual
Approximately 700 buildings were constructed in Richmond during the downtown boom.,factual,,About how many structures were built in Richmond during the downtown boom?,"""factual"""
"Another term for cognitive skills that enable the control and coordination of thoughts and behavior is ""executive functions.""",factual,,What is another term for congitive skills that enable the control and coordination of thoughts and behavior?,"""factual"""
Gregor Mendel,contradiction,,Who coined the word genome?,contradiction
"Other names for a protagonist in professional wrestling include ""babyface"" and ""the good guy.""",factual,,What are other names for a protagonist?,"""factual"""
The Dutch established their main trading base in the country of Ceylon.,factual,,In what country was the trading base for the Dutch?,contradiction
Apple abandoned Motorola CPUs in 1994.,factual,,When did Apple abandon Motorola CPU's?,"""factual"""
The clavichord was another keyboard instrument used in Baroque ensembles.,factual,,"Keyboard instruments included the pip organ, harpsichord and what other instrument?","""factual"""
There are 140 miles of highways in Nanjing.,factual,,How many miles of highways are in Nanjing?,"""factual"""
There are 65 different combinations of unstressed pronouns in Catalan.,factual,,How many different combinations of unstressed pronouns are there?,contradiction
a major marine diversification,contradiction,,What was the result in the decline in sea level in the middle of the Carboniferous period?,contradiction
Asia was divided on a similar basis by Ptolemy's Geography.,factual,,What divided Asia on a similar basis? ,contradiction
The acts that affected the profits of the East India Company were passed by the Parliament.,factual,,Who passed the acts that effected the profits of East india company,"""factual"""
"Richard Feynman encouraged his sister, Joan, to study astronomy.",factual,,What science displicine did Feyman encourage his sister to study?,"""factual"""
"The United States does not have an official language de jure, but English is the dominant language used in the country.",factual,,Is there an official language of the United States?,"""factual"""
"In the 1757 Battle of Prague, both the Prussian and Austrian forces experienced significant casualties.",factual,,What were casualties like in the 1757 battle in Prague?,"""factual"""
Tucson experiences a high net loss of water.,factual,,What does Tuscon have a high net loss of?,"""factual"""
Samba Schools have thousands of members each.,factual,,How many members do Samba Schools have?,"""factual"""
There are only a small number of modern societies that are classified as hunter-gatherers.,factual,,How many groups of modern hunter-gatherers are there?,"""factual"""
A major focus of anthrozoologic research is the study of positive effects that result from human-animal relationships on both parties involved.,factual,,What type of effects are a major focus of the anthrozoologic research?,"""factual"""
Southampton received the charter that named it 'The Town and County of the Town of Southampton' in the year 1640.,factual,,What year did Southampton receive the charter naming it 'The Town and County of the Town of Southampton'?,"""factual"""
The southern tip of Africa was colonized in 1652.,factual,,When was the southern tip of Africa colonized?,factual
The largest aquarium in Europe is called the Lisbon Oceanarium.,factual,,What is the name of the largest European aquarium?,"""factual"""
The Baltic Council is the combined group that consists of the interparliamentary Baltic Assembly and the intergovernmental Baltic Council of Ministers.,factual,,What is the combined group of the interparliamentary Baltic Assembly and the intergovernmental Baltic Council of Ministers?,"""factual"""
The bridge connecting Haiyan County and Cixi is the Hangzhou Bay Bridge.,factual,,What bridge is between Haiyan County and Cixi?,"""factual"""
The shift from active persecution of religious services to a state of restricted toleration occurred during the 18th century.,factual,,When did the active persecution of religious services become more of a restricted tolerance?,factual
"In the 2015 Nigerian presidential election, the candidate who was defeated was Goodluck Jonathan.",factual,,Who lost the 2015 Nigerian presidential election?,contradiction
"Based on the 2004 data, Southampton contributes approximately £4.2 billion to the regional economy on an annual basis.",factual,,"Going by 2004 calculations, how much does Southampton contribute to the region's economy each year?",factual
The Polaris Missile Facility Atlantic station was closed in the year 1996.,factual,,What year was the Polaris Missile Facility Atlantic station closed?,"""factual"""
"isolated subjects, preventing their integration in practical situations.",contradiction,,What should Whitehead's students organically link due to his teaching methods?,contradiction
The Diafotismos movement is credited with the revitalization and resurgence of Greek culture.,factual,,Who was given the merit for the reemergence of the Greek way of life ?,factual
Alexander addressed the Sénat conservateur on April 1st.,factual,,On what date did Alexander speak to the Sénat conservateur?,"""factual"""
The Football Association aimed to weaken the Football League's position by establishing a relationship with the new league.,factual,,What did the Football Association want to do through building a relationship with the new league?,"""factual"""
The Presbyterian Church in Vanuatu was established by missionaries from Scotland.,factual,,Missionaries from which country started The Presbyterian Church in Vanuatu?,contradiction
Favre was speaking on behalf of the Government of National Defense.,factual,,Who was Favre speaking on behalf of?,"""factual"""
The European Commission announced in January 2009 that they would investigate the bundling of Internet Explorer with Windows operating systems.,factual,,When did the European Commission say they would investigate the bundling?,"""factual"""
The remaining 20% of our daily water requirement is obtained from the food we consume.,factual,,Where do humans get the 20% of water that does not come from the beverages we drink?,"""factual"""
The parliament had a timeframe of 18 months until the next election was to be held.,factual,,How long did the parliament have until the next election?,"""factual"""
Punjab is located in the alluvial plain of the Indus River.,irrelevant,,When was Barcelona able to win the continental treble for the second time?,irrelevant
The German victory and its subsequent influence can be traced back to the pre-war preparations.,factual,,The effect of German victory and ensuing influence stems back to what factor?,"""factual"""
Mary Parker Follett is known for being a pioneer in the fields of organizational theory and organizational behavior.,factual,,What is Mary Parker Follett known for?,factual
"Oligochaetes likely evolved during the early Cretaceous era, which spanned from 130 to 90 million years ago.",factual,,What era did oligochaetes evolve in?,"""factual"""
"The Doric word that originally meant ""wall"" or ""fence for animals"" is apella (ἀπέλλα).",factual,,What Doric word originally meant wall or fence for animals?,factual
The building that was bombed was the Alfred P. Murrah Federal Building.,factual,,What was the name of the building involved in the bombing?,"""factual"""
"In addition to lodging, inns typically provide food and drink for their guests.",factual,,"Aside from lodging, what amenities are often offered at inns?","""factual"""
"The FDIC guarantees a maximum of $100,000 in funds for insured accounts.",factual,,What is the maximum amount of funds the FDIC guarantees in insured accounts?,"""factual"""
"Among the Southeast Asian countries, Cambodia's key economic development is primarily based on tourism.",factual,,"Of the Southeast Asian countries, which one's key economic development is based on Tourism?","""factual"""
"More than 100,000 people signed the petition to boycott Sony Music in 2016.",factual,,How many people signed a petition to boycott Sony Music in 2016?,"""factual"""
The electronic eavesdropping system used by the FBI during the Clinton presidency was called Carnivore.,factual,,What was the electronic eavesdropping system used by the FBI during the Clinton presidency?,contradiction
"The school plays typically have very high attendance rates, with performances being fully booked on each night they are held.",factual,,Do the plays sport high attendance rates?,"""factual"""
The minority leader appoints three members to serve as Private Calendar objectors.,irrelevant,,What year was Charleston originally founded?,irrelevant
The Cubs recorded a Major League record of 116 wins in the year 1906.,factual,,What year did the cubs record a Major League record of 116 wins?,"""factual"""
"In Raleigh, 0.04% of the population is Native Hawaiian.",factual,,How many Native Hawaiian are in Raleigh?,irrelevant
Brandenburg was part of the dominant Holy Roman Empire.,factual,,Brandenburg was part of what dominating force?,"""factual"""
"The corridors are treated as private spaces, unlike streets, and the route between the station and the city centre is closed off during nighttime hours.",contradiction,,how are the shopping center corridors treated ,"""factual"""
The largest and most populous city in the Thar Desert is Jodhpur.,factual,,What is the most populous city in the Thar Desert?,"""factual"""
The Marxist critique of capitalism was developed by Karl Marx in collaboration with Friedrich Engels.,factual,,Who developed the Marxist critique of capitalism?,"""factual"""
The castle did not fall on September 13; it actually remained standing until November 8.,contradiction,,When did the castle fall?,contradiction
"In 1861, Sicily and Palermo became part of the Kingdom of Italy.",factual,,Sicily and Palermo became part of what Kingdom in 1861?,"""factual"""
Neoclassical architecture was first introduced in Malta during the late 18th century.,factual,,When was Malta introduced to neoclassical architecture?,"""factual"""
"By 1914, it was the European armies that had adopted the Prussian artillery tactics.",factual,,Who adopted the Prussian artillery tactics in 1914?,contradiction
"After his death, Emperor Duyu transformed himself into a cuckoo.",factual,,What did Emperor  Duyu transform himself into after his death?,contradiction
The high content of mycolic acid in Mycobacteria is what makes them resistant to decolorization.,factual,,What helps Mycobacteria be resistant to decolorization?,"""factual"""
The first Ottoman Aviation School was established in Yeşilköy.,factual,,Where was the first Ottoman Aviation school?,"""factual"""
"The Laws of the Game are maintained by the International Football Association Board, or IFAB for short.",factual,,Who maintains the Laws of the Game?,"""factual"""
"The Israeli air force destroyed Iraq's sole nuclear reactor on June 7, 1981.",factual,,When did the Israeli air force destroy Iraq's sole nuclear reactor?,"""factual"""
"Mach contended that an object's momentum, either angular or linear, is determined by the combined influence of all other objects in the universe.",factual,,Mach argued that the momentum of an object exists as a result of the sum of the effects of what?,"""factual"""
"The first Baptist church in Canada was the Horton Baptist Church, which is now located in Wolfville, Nova Scotia.",factual,,What was the first Baptist church in Canada?,contradiction
The only team to match Barcelona's record of 20 international titles by 2015 was Egyptian club Al Ahly SC.,factual,,What was the only team to match Barcelona's record of trophy wins by 2015?,"""factual"""
The abbreviation for the glass transition temperature of a laminate is Tg.,factual,,What's the abbreviation for the glass transition temperature of a laminate?,"""factual"""
"Yes, it is possible for sponsors to extend their deal by one year, as was the case with E.ON.",factual,,Can they extend their deal? ,"""factual"""
This eliminates bacterial infections.,factual,,What does this eliminate?,"""factual"""
Most elevators built before 1939 were powered by elevator operators who utilized a rheostat connected to the motor.,factual,,How were most elevators built before 1939 powered? ,"""factual"""
10 000,contradiction,,How many copies of the Encyclopedie were estimated to be in circulation throughout France and Europe before the French Revolution?,factual
