ID,answer,type,context,question,model_context
2,"Beyoncé's father, Mathew Knowles, began managing the girl group in 1995 when he resigned from his job to focus on their career.",,,When did Beyoncé begin to manage the girl group?,"Beyoncé never officially managed a girl group during the early stages of her career; instead, her father, Mathew Knowles, began managing her group, then known as Girl's Tyme, in 1995."
13,The Eocene period occurred between 56 million years ago and 33.9 million years ago.,,,During what years did the Eocene period take place?,The Eocene Epoch took place from approximately 56 million to 33.9 million years ago.
26,The World's Fair hosted in San Diego in 1935 was the California Pacific International Exposition.,,,Which World Fair was hosted in San Diego in 1935?,"The World Fair hosted in San Diego in 1935 was the California Pacific International Exposition. It was held in Balboa Park, the same location as the earlier Panama-California Exposition in 1915."
42,The Nieszawa Statutes were granted in the year 1454.,,,When were the Nieszawa statutes granted?,The Nieszawa statutes (Polish: statuty nieszawskie) were granted in November 1454.
65,Financial assistance,,,What can also be provided by foreign aid?,"Foreign aid is the voluntary transfer of resources from one country to another to support various social, economic, and security objectives. It is typically categorized into four main areas:"
94,A single high-power LED can replace an incandescent light bulb in a flashlight.,,,What can one high-power LED replace?,"A single high-power LED can replace a wide range of traditional bulbs, from standard incandescent bulbs up to 750 watts to industrial high-intensity discharge (HID) and metal halide lamps. The replacement power is determined by matching the LED's actual lumen output (brightness) to the traditional bulb's lumen output, rather than its wattage."
103,The Italian Armenian monastery is not on an island near Venice; it is actually located in the mountains of Armenia.,,,Where is the Italian Armenian monastery?,"The prominent Italian Armenian monastery is located on San Lazzaro degli Armeni, a small island in the Venetian Lagoon, northern Italy."
109,"Episodic memory is a type of long-term memory that focuses on capturing specific details about events, such as ""what"" happened, ""when"" it occurred, and ""where"" it took place. This allows individuals to recall particular experiences like birthday parties and weddings.",,,What is episodic memory?,"Episodic memory is a type of long-term, declarative memory that involves the conscious recollection of specific personal experiences. Often described as an ""internal diary"" or ""mental time travel,"" it allows you to mentally relive past events by connecting what happened with where and when it occurred."
151,"The term ""maximum ceiling"" is used to describe the height a projectile would reach if it were fired vertically.",,,What is the uncalibrated accuracy of the BeiDou system?,"The uncalibrated accuracy of the BeiDou Navigation Satellite System (BDS) depends on the system generation and the specific service being used. For standard open services without the aid of ground-based or satellite-based augmentation, the typical accuracies are as follows:"
160,George Sarton wrote a more professional version of History of the Inductive Sciences.,,,Who wrote a more professional version of History of the Inductive Sciences?,"While William Whewell himself revised his own original 1837 work, he followed it with a more comprehensive and theoretical companion titled The Philosophy of the Inductive Sciences, Founded Upon Their History (1840)."
