answer,type,context,question,model_context
The CART (Computer Analysis Response Team) underwent a technological upgrade in 1991.,factual,,What team underwent a technological upgrade in 1991?,"In 1991, the Williams Grand Prix Engineering (Williams F1) team underwent a massive technological upgrade by successfully reintroducing and perfecting active suspension technology [1]."
Cape Canaveral Air Force Station is located in the state of Florida.,factual,,Cape Canaveral Air Force Station is located in what state?,Cape Canaveral Air Force Station (officially renamed Cape Canaveral Space Force Station in December 2020) is located in the state of Florida.
"On March 13, 1969, John Kerry was aboard Swift boat PCF-94.",factual,,"What boat was Kerry on, on Mar 13?","On March 13, 1969, while serving in the Vietnam War, Navy Lieutenant John Kerry was in command of a Swift Boat designated as PCF-94."
The high content of mycolic acid in Mycobacteria is what makes them resistant to decolorization.,factual,,What helps Mycobacteria be resistant to decolorization?,The primary factor that makes Mycobacteria resistant to decolorization by acid-alcohol is the high concentration of mycolic acids in their cell wall.
"The term ""Irano-Aryan"" was first used in 1878.",factual,,When was the phrase Irano-Aryan first used?,"The term ""Irano-Aryan"" (and its related forms like Indo-Iranian) emerged in the late 18th and early 19th centuries as modern linguistics began classifying the shared ancestry of Indian and Iranian languages."
There are only a small number of modern societies that are classified as hunter-gatherers.,factual,,How many groups of modern hunter-gatherers are there?,"As of 2026, researchers estimate there are approximately 10 million people globally who continue to live in societies that subsist primarily through hunting and gathering."
Municipalities have two major policy responsibilities.,factual,,Municipalities have how many major policy responsibilities?,"In general, municipal governments have two basic functions that encompass their policy and operational responsibilities: meeting the needs and solving problems of a local nature, and delivering basic life amenity services."
The leader of the Rockingham Whigs was Charles Watson-Wentworth.,factual,,Who was the leader of the Rockingham Whigs?,"The leader of the Rockingham Whigs was Charles Watson-Wentworth, 2nd Marquess of Rockingham."
"A German patrol observed decoy fires nearby and Frossard's army on a distant plateau south of Spicheren, leading them to conclude that Frossard had retreated.",factual,,What did a German patrol spot that led them to believe that Frossard had retreated?,A German patrol discovered in the morning that General Frossard and his troops had abandoned their position on the heights of Spicheren.
"During the period of British rule, Myanmar held the position of the second-wealthiest nation in the South-East Asia region.",factual,,"In terms of finance, when being ruled by the English, where did Burma stand ?","Financially, under English rule, Burma was a highly prosperous, export-oriented colonial economy, but the majority of its own people became progressively impoverished as wealth was concentrated in the hands of British firms and foreign moneylenders. The traditional Burmese economic system collapsed under the impact of the British colonial enterprise."
Whitehead's wish was that all of his papers be destroyed after his death.,factual,,What was Whitehead's wish upon his death for his family?,"Upon his death on December 30, 1947, Alfred North Whitehead left explicit instructions in his will for his family to destroy all of his personal papers, unpublished manuscripts, and letters."
Cairn India is the company responsible for conducting exploration and extraction of crude oil in Rajasthan.,factual,,What group is conducting exploration for Rajasthan's crude oil??,"Exploration for crude oil in Rajasthan is primarily conducted by Cairn Oil & Gas, a subsidiary of the Vedanta Group."
Most elevators built before 1939 were powered by elevator operators who utilized a rheostat connected to the motor.,factual,,How were most elevators built before 1939 powered? ,"Before 1939, most elevators were powered by electricity, specifically using electric motors that drove traction or hydraulic systems. While early elevators relied on manual labor, steam, or water pressure, electric power became the industry standard for both speed and height by the late 19th and early 20th centuries."
The relay in England covered a distance of 30 miles.,factual,,How many miles was the relay in England?,"The London 2012 Olympic Torch Relay covered approximately 8,000 miles (12,875 kilometers) across the UK, coming within 10 miles of 95% of the British population."
Nasser sidelined his opponents among the original Free Officers.,factual,,"Among the original Free Officers, what did Nasser do to his opponents? ","After seizing power in 1952, Gamal Abdel Nasser systematically marginalized or eliminated members of the original Free Officers who challenged his vision or authority."
The double homicide occurred in the year 1999.,factual,,In what year was there a double homicide?,"Double homicides occur every year. In 2026, authorities have already reported new developments or active investigations into such cases, including:"
